agrupacion_id,eleccion_id,nombre,agrupacioninterna
0612,2,Alianza Frente Encuentro Sur                                                                        ,
0183,2,Fortaleza                                                                                           ,
0174,2,Partido Popular                                                                                     ,
0605,2,Alianza Frente Popular Riojano                                                                      ,
0613,2,Alianza Frente para la Victoria Riojana                                                             ,
0181,2,Acuerdo Republicano Federal                                                                         ,
0052,2,Unión y Libertad                                                                                    ,
0091,2,Frente Progresista Civ. y Soc.                                                                      ,
0001,2,Movimiento de Integración y Desarrollo                                                              ,
0022,2,Partido Humanista                                                                                   ,
0602,2,Alianza Frente Pampeano Cívico y Social (FREPAM)                                                    ,
0092,2,Frente Entrerriano Federal                                                                          ,
0802,2,"Unión, Producción y Trabajo                                                                         ",
0803,2,Todos por San Juan                                                                                  ,
0804,2,Frente Opositor                                                                                     ,
0002,2,Partido Justicialista                                                                               ,
0188,2,Encuentro Popular                                                                                   ,
0154,2,Movimiento Popular Fueguino                                                                         ,
0180,4,SANTAFESINO CIEN POR CIENTO,
0187,2,Partido Social Patagónico                                                                           ,
0801,2,Frente Unidos por San Luis                                                                          ,
0180,2,Convergencia Democrática                                                                            ,
0701,2,Unión Para Vivir Mejor                                                                              ,
0702,2,Frente para la Victoria Santacruceña                                                                ,
0703,2,Encuentro Ciudadano Sur                                                                             ,
0184,2,Partido Nueva Generación                                                                            ,
0182,2,Partido Democ. Independiente                                                                        ,
0719,2,Partido Socialista                                                                                  ,
0720,2,Unidos por Santa Cruz                                                                               ,
0641,2,MO.V.I.PRO.                                                                                         ,
0632,2,Fuerza Nueva                                                                                        ,
0247,2,Agrup. Municipal de Integración Ramallense                                                          ,
0253,2,Acción Comunal                                                                                      ,
0248,2,Rivadavia Primero                                                                                   ,
0249,2,Encuentro por Rojas                                                                                 ,
0153,2,Cruzada Renovadora                                                                                  ,
0012,2,Partido Comunista de los Entrerrianos                                                               ,
0246,2,Movimiento Unión del Partido de Pinamar                                                             ,
0244,2,Unión Vecinal de Navarro                                                                            ,
0245,2,Olavarria para Todos                                                                                ,
0228,2,Movimiento para la Victoria                                                                         ,
0258,2,1º Tres Lomas                                                                                       ,
0229,2,Unidad X Chascomus                                                                                  ,
0234,2,Acción Marplatense                                                                                  ,
0235,2,Nuevo Socialismo Marplatense                                                                        ,
0261,2,Lezama X Lezama                                                                                     ,
0230,2,Progreso Social                                                                                     ,
0221,2,Integración Ciudadana                                                                               ,
0232,2,Fuerza Ciudadana                                                                                    ,
0233,2,Defensa Comunal de Gral. Paz                                                                        ,
0237,2,Unión Vecinal G. Chaves                                                                             ,
0238,2,Construcción Social Participativa                                                                   ,
0239,2,Segundo Centenario                                                                                  ,
0240,2,UV - Unión Vecinal                                                                                  ,
0241,2,Florenses para el Encuentro                                                                         ,
02-873,10,A TODA COSTA,
23-181,10,FUERZA REPUBLICANA,
0259,2,Corriente de Unidad Social y Política 6 de Diciembre                                                ,
0224,2,Agr. Munic. de la Intransigencia Colonense                                                          ,
