distrito_id,seccion_id,circuito_id,nombre,municipio_id,eleccionorigen_id
2,108,0922A,0922A,,1
19,9,00114,00114,,1
1,2,00022,00022,,1
2,10,0117B,0117B,,1
2,10,00118,00118,,1
2,10,00120,00120,,1
2,76,00640,00640,,1
1,2,00023,00023,,1
14,3,00019,00019,,1
14,3,00020,00020,,1
19,7,0083A,0083A,,1
19,7,00084,00084,,1
19,7,00085,00085,,1
2,7,00075,00075,,1
2,23,00186,00186,,1
4,1,0004B,0004B,,1
4,1,00004,00004,,1
4,1,0004A,0004A,,1
4,1,0005A,0005A,,1
2,63,00509,00509,,1
2,25,00235,00235,,1
2,25,00236,00236,,1
2,25,0236A,0236A,,1
2,25,00237,00237,,1
2,63,00462,00462,,1
2,25,0237A,0237A,,1
2,25,00238,00238,,1
2,15,00149,00149,,1
2,15,00150,00150,,1
1,10,00106,00106,,1
1,9,00094,00094,,1
2,26,00241,00241,,1
2,26,00242,00242,,1
2,26,00243,00243,,1
2,15,00151,00151,,1
1,11,00120,00120,,1
1,11,00121,00121,,1
1,11,00119,00119,,1
2,14,00137,00137,,1
2,14,00138,00138,,1
2,14,00139,00139,,1
2,14,00140,00140,,1
4,8,00106,00106,,1
4,1,0014N,0014N,,1
4,1,0014P,0014P,,1
2,27,00249,00249,,1
4,1,0014Q,0014Q,,1
4,2,0018B,0018B,,1
4,7,00099,00099,,1
2,28,0258B,0258B,,1
1,10,00107,00107,,1
1,10,00108,00108,,1
1,10,00109,00109,,1
2,29,00194,00194,,1
2,12,00513,00513,,1
1,10,00104,00104,,1
1,10,00105,00105,,1
1,10,00102,00102,,1
1,10,00103,00103,,1
2,12,00511,00511,,1
1,9,00100,00100,,1
1,9,00101,00101,,1
2,118,00395,00395,,1
2,119,00337,00337,,1
2,118,0394A,0394A,,1
1,9,00096,00096,,1
1,9,00097,00097,,1
1,9,00092,00092,,1
1,9,00093,00093,,1
1,9,00095,00095,,1
2,7,00091,00091,,1
2,105,00880,00880,,1
2,105,0880B,0880B,,1
2,106,00887,00887,,1
2,63,00503,00503,,1
2,63,0505A,0505A,,1
2,126,00745,00745,,1
2,127,00361,00361,,1
2,90,00339,00339,,1
2,121,00983,00983,,1
18,4,00046,00046,,1
18,2,00034,00034,,1
2,70,00588,00588,,1
24,2,00009,00009,,1
23,1,00010,00010,,1
23,1,0012A,0012A,,1
23,1,00004,00004,,1
22,25,00207,00207,,1
22,21,00180,00180,,1
22,16,00140,00140,,1
22,10,00090,00090,,1
22,10,00091,00091,,1
22,6,00064,00064,,1
22,6,00065,00065,,1
22,6,00044,00044,,1
22,2,00020,00020,,1
22,2,00021,00021,,1
22,1,0007A,0007A,,1
22,1,00004,00004,,1
21,22,00261,00261,,1
21,22,00262,00262,,1
1,9,00091,00091,,1
21,14,0344A,0344A,,1
2,26,00244,00244,,1
2,26,00245,00245,,1
2,26,00246,00246,,1
18,15,00106,00106,,1
18,15,00107,00107,,1
18,15,00108,00108,,1
2,81,00675,00675,,1
2,84,00719,00719,,1
2,84,0719A,0719A,,1
2,78,00657,00657,,1
2,78,00658,00658,,1
2,78,00659,00659,,1
2,78,00660,00660,,1
2,67,00558,00558,,1
2,67,00559,00559,,1
2,67,00560,00560,,1
2,67,00561,00561,,1
2,67,00562,00562,,1
2,65,00538,00538,,1
2,63,0505B,0505B,,1
2,63,0496D,0496D,,1
2,30,00204,00204,,1
2,30,00205,00205,,1
2,30,00206,00206,,1
2,30,00208,00208,,1
2,30,00209,00209,,1
2,30,0209A,0209A,,1
6,1,00002,00002,,1
5,12,00073,00073,,1
5,13,00079,00079,,1
5,14,00087,00087,,1
5,14,00088,00088,,1
5,15,00092,00092,,1
5,16,0100A,0100A,,1
5,17,00101,00101,,1
5,18,00108,00108,,1
5,8,00054,00054,,1
5,9,00059,00059,,1
5,9,0059A,0059A,,1
5,10,00060,00060,,1
5,6,00036,00036,,1
5,6,00037,00037,,1
5,7,00040,00040,,1
5,7,00041,00041,,1
5,7,00042,00042,,1
5,7,00043,00043,,1
5,3,00017,00017,,1
5,3,00022,00022,,1
5,4,00024,00024,,1
5,4,00028,00028,,1
5,1,00011,00011,,1
5,2,0012A,0012A,,1
5,2,00015,00015,,1
5,1,00007,00007,,1
5,1,0007B,0007B,,1
5,1,00008,00008,,1
5,1,00009,00009,,1
5,1,00010,00010,,1
5,1,0005A,0005A,,1
5,1,0005B,0005B,,1
5,1,0005C,0005C,,1
4,26,00396,00396,,1
5,1,00001,00001,,1
5,1,00002,00002,,1
4,26,00375,00375,,1
4,26,00378,00378,,1
4,26,00385,00385,,1
4,26,00389,00389,,1
4,26,00392,00392,,1
4,26,00393,00393,,1
4,24,00352,00352,,1
4,24,0352A,0352A,,1
4,24,00353,00353,,1
4,25,00360,00360,,1
4,25,0360A,0360A,,1
4,25,00364,00364,,1
4,25,00365,00365,,1
4,25,00371,00371,,1
4,26,00373,00373,,1
4,23,00344,00344,,1
4,23,00345,00345,,1
4,23,00346,00346,,1
4,23,00336,00336,,1
4,23,00337,00337,,1
4,23,00340,00340,,1
4,23,00341,00341,,1
4,23,00342,00342,,1
