lista_id,agrupacion_id,eleccion_id,nombre
3093,0504,3,LISTA AZUL Y BLANCA
3094,0504,3,LISTA UNIDOS POR ARGENTINA
3088,0537,3,LISTA IZQUIERDA ROJA Y VERDE
3089,0537,3,LISTA DEL TRABAJO Y DEL PUEBLO
3286,0501,3,CELESTE Y BLANCA K
3140,0504,3,SAN LUIS UNIDAD
3141,0504,3,LLAMANDO A LAS BASES
3143,0514,3,GEN T DEL SOCIALISMO
3144,0514,3,COMPROMISO REPUBLICANO
3096,0002,3,FUERZA SANTA CRUZ
3097,0002,3,EVA PERON
3098,0002,3,LEALTAD Y MILITANCIA
3099,0538,3,LISTA  JUNTOS POR EL CAMBIO
3100,0538,3,LISTA  PROYECTO ALTERNATIVO
0000,0180,3,""
3135,0514,3,CAUCE
3136,0514,3,SANTA FE AVANZA
3132,0539,3,JOVENES EN MARCHA
3133,0539,3,UNIDOS PARA CAMBIAR
3134,0539,3,UNION POR LA LIBERTAD Y EL TRABAJO
0000,0547,3,""
3030,0501,3,LISTA 2 CELESTE Y BLANCA LETRA K
3031,0501,3,LISTA  PRIMERO MI PROVINCIA - CORRIENTES CRECE  N. 1
3032,0501,3,LISTA AZUL Y BLANCA 11 DE MARZO
0000,0515,3,""
0000,0516,3,""
3033,0517,3,LISTA VERDE
3034,0517,3,LISTA B  NUEVA GENERACION
3035,0517,3,LISTA ELI
3036,0517,3,LISTA  UNIDOS POR EL CAMBIO  LETRA  D
3037,0517,3,LISTA FRENTE AMPLIO PROGRESISTA LETRA  E
3038,0517,3,LISTA  COALICION POR LA REPUBLICA  F
3086,0501,3,LISTA:  CELESTE Y BLANCA  - LETRA  A
3087,0501,3,LISTA:  NACIONAL Y POPULAR  - LETRA:  B
3039,0003,3,CAMBIO RADICAL CHUBUTENSE A
3040,0003,3,COMPROMISO CHUBUTENSE B
3041,0003,3,FRENTE CHUBUT PRODUCTIVO C
3042,0003,3,FRENTE RADICAL AMAYA CHUBUT D
0000,0151,3,""
0000,0152,3,""
0000,0157,3,""
3043,0501,3,LISTA K NESTOR KIRCHNER
3044,0501,3,LISTA A MUCHOS
3045,0501,3,LISTA B 15 DE ABRIL
0000,0520,3,""
3130,0521,3,UNIDAD FORMOSEÑA
3131,0521,3,NUEVA INICIATIVA
0000,0208,3,""
0000,0522,3,""
0000,0523,3,""
0000,0524,3,""
3046,0002,3,A- UNIDAD PERONISTA
3047,0002,3,B- COMPROMISO PERONISTA
3048,0002,3,C- PAMPEANOS Y PERONISTAS
3049,0002,3,J- JTP
3050,0002,3,K- NEP
3051,0002,3,M- FRENTE RENOVADOR
3052,0002,3,O- GENERACION PARA EL CAMBIO
3053,0002,3,P- 4 DE JUNIO
0000,0022,3,""
0000,0184,3,""
0000,0190,3,""
3054,0525,3,A- ADELANTE
3055,0525,3,B- POR MAS!!!
3056,0525,3,C- SI AL CAMBIO
3057,0525,3,D- LA GLORIOSA LISTA TRES
3058,0525,3,T- JUNTOS POR LA PAMPA
0000,0526,3,""
3320,0514,3,RENOVACION PROGRESISTA - PA
3353,0514,3,COALICION CIVICA - F
3392,0514,3,TODOS POR ECHEVARRIA - Q
0000,0339,3,""
3324,0501,3,LISTA 4 - CELESTE Y BLANCA K
3387,0514,3,UNIDOS POR MAS BERAZATEGUI - HL
3388,0514,3,TODOS POR BERAZATEGUI - NH
3389,0514,3,UNION PARA LA GENTE - LC
3337,0504,3,UNIDAD ES POSIBLE
3336,0514,3,HONESTIDAD Y COMPROMISO SOCIAL - C
3338,0514,3,SOLO HAY HAY CAMBIO SI QUERES - JQ
3339,0514,3,SAN MARTIN HONESTIDAD Y TRABAJO - GL
3340,0514,3,RESISTENCIA MILITANTE - MY
0000,0337,3,""
0000,0373,3,""
3401,0501,3,LISTA 6 - CELESTE Y BLANCA K
3404,0501,3,LISTA 8 - CELESTE Y BLANCA K
3452,0501,3,LISTA 9 - CELESTE Y BLANCA K
3448,0514,3,INTEGRACION - JP
3449,0514,3,PROPUESTA MARPLATENSE - JT
3450,0514,3,PARTICIPACION PROGRESISTA - ME
0000,0331,3,""
0000,0333,3,""
0000,0347,3,""
3375,0514,3,FE-FUTURO EXALTACION - R
3376,0514,3,UNION PROGRESISTA EXALTACION - GW
0000,0361,3,""
3393,0514,3,TODOS POR VARELA - Z
3394,0514,3,CONSULTA Y ACCION - MN
3395,0514,3,ENCUENTRO PROGRESISTA EN F VARELA - JO
3396,0514,3,CAMBIO PROGRESISTA - NX
3289,0159,3,LISTA 803
3287,0163,3,LISTA UNICA
3220,0504,3,INCLUSION Y PROGRESO
3221,0504,3,UNIDOS POR SAN LUIS
3222,0504,3,COMPROMISO PARA EL CAMBIO
3223,0504,3,INTEGRACION ECONOMICA Y SOCIAL
3224,0504,3,AGRUPACION SANTOS ORTIZ
3225,0504,3,SAN LUIS REVOLUCION
3226,0504,3,PERONISMO DE PIE
3285,0504,3,LISTA 3 - DESARROLLO UNIDO
3231,0514,3,COMPROMISO POR EL CAMBIO
3282,0514,3,COMPROMISO PUNTANO
3342,0349,3,LINEA BLANCA Y CELESTE - 4
3327,0514,3,TRANSPARENCIA SOLIDARIDAD Y PARTICIPACION - B
3436,0514,3,UNIDAD PROGRESISTA BOLIVAR - JC
3437,0514,3,PROGRESISMO BOLIVAR - GH
3438,0514,3,ACUERDO CIVICO PROGRESISTA - HJ
3296,0501,3,UNIDOS Y ORGANIZ. PRINGLES
3290,0504,3,LISTA 6
3291,0504,3,LISTA 10 - PARTIDO MOV PUNTANO
3292,0504,3,LISTA 16 - RESISTENCIA PERONISTA
3293,0504,3,LISTA 33 - UNIDAD Y L. PERONISTA
3294,0504,3,LISTA 209 - JUNTOS POR PRINGL.
3295,0504,3,LISTA 210 - PRING. POR EL CAMBIO
3414,0514,3,CONSTRUCCION BRAGADENSE - O
3415,0514,3,UNION PROGRESISTA BRAGADO - MC
3239,0501,3,LISTA CAMPO
3240,0501,3,LISTA NUEVA DIRIGENCIA
3232,0504,3,AGRUPACION LA RODRIGUEZ SAA
3234,0504,3,JUSTICIA SOCIAL
3235,0504,3,LISTA 214
3237,0504,3,SINFONIA DE UN SENTIMIENTO
3242,0514,3,RENOVACION Y CAMBIO
3207,0504,3,JUNTOS POR BELGRANO
3216,0504,3,JUNTOS X DUPUY
3325,0514,3,MAS ADOLFO ALSINA - MD
3326,0514,3,PROGRESISMO Y HONESTIDAD - S
3311,0514,3,GENTE EN QUIEN CONFIAR - D
3321,0514,3,ROJO Y BLANCO - GC
3316,0514,3,PROGRESISMO BROWN-X
3317,0514,3,SOCIALISMO Y PARTICIPACION - GG
3318,0514,3,TODOS POR ALMIRANTE BROWN - NP
3319,0514,3,RENOVACION Y CAMBIO PROGRESISTA - MS
3390,0514,3,BRANDSEN PROGRESISTA - HA
3309,0510,3,LINEA POPULAR - LISTA 3
3312,0514,3,ACUERDO BASES - LISTA JA
3329,0514,3,UNION PROGRESISTA - J
3330,0514,3,INTEGRACION PROGRESISTA LA PLATA - GU
3332,0348,3,PATRIA GRANDE
3333,0348,3,UNION DEL PUEBLO
3370,0514,3,UNION PROGRESISTA C. SARMIENTO - HR
0000,0360,3,""
3371,0514,3,UNION PROGRESISTA CARMEN DE ARECO - NH
3372,0514,3,FIDELIDAD IDEOLOGICA - GS
3373,0514,3,UN FUTURO PARA COLON - JB
3374,0514,3,RECONSTRUCCION - JV
0000,0352,3,""
3459,0514,3,FRENTE PROGRESISTA DORREGUENSE - GV
0000,0340,3,""
3460,0514,3,UNION POR PRINGLES 2013 - HV
3461,0514,3,LINEA PRINGLES - HF
3463,0351,3,LISTA BLANCA - A
3464,0351,3,ABRIL 19 - B
3462,0514,3,UNION PROGRESISTA CORONEL ROSALES - GI
3348,0507,3,LISTA BLANCA
3349,0514,3,INTEGRACION SOCIAL - NR
0000,0356,3,""
3350,0514,3,UNION PROGRESISTA DE MERLO - HM
0000,0345,3,""
3347,0510,3,RENOVACION PROVINCIAL LISTA - 4
0000,0369,3,""
3465,0514,3,UNION PARA LA ACCION - GP
3399,0514,3,PROGRESISTAS DE LANUS - P17
3416,0514,3,MAS DEMOCRACIA - LF
3417,0514,3,TODOS POR CHACABUCO - HP
0000,0370,3,""
3446,0514,3,RUPA - T
3341,0349,3,LINEA AZUL - 9
3343,0349,3,LINEA BLANCA Y AZUL - 8
3344,0513,3,UNION CON FE - 01 - A
3345,0513,3,UCF01SMI 02 - B
3346,0514,3,PARTICIPACION Y TRANSPARENCIA - H
3386,0514,3,FRENTE PROGRESISTA AVELLANEDA - NG
3418,0514,3,UNION PROGRESISTA CHIVILCOY - JZ
3419,0514,3,CHIVILCOY FUTURO - MG
3447,0514,3,TRABAJO Y COMPROMISO POR DOLORES - MA
3391,0514,3,PROGRESISMO BS AS ENSENADA - NI
3439,0514,3,LISTA ROSA - NY
3420,0514,3,RENOVACION GRAL ARENALES - ND
3422,0514,3,UNION PROGRESISTA GRAL ARENALES - JL
3314,0514,3,27 - JJ
3315,0514,3,PROYECTO HERENSE - ML
0000,0346,3,""
3423,0514,3,ACUERDO PROGRESISTA GRAL PINTO - HE
3322,0514,3,ACUERDO CIVICO - MB
3328,0514,3,UNIDAD PROGRESISTA PARA EL CAMBIO - JW
0000,0350,3,""
0000,0372,3,""
3457,0514,3,RECUPEREMOS BAHIA - E
3458,0514,3,UNIR POR BAHIA - HW
3444,0514,3,BALCARCE SOÑADO - GD
3445,0514,3,FRENTE PROGRESISTA BALCARCE - GJ
3369,0514,3,UNION PROGRESISTA ARRECIFES - HR
3351,0514,3,FUTURO PARA MORENO - JS
3352,0514,3,UNION PROGRESISTA MORENO - W
0000,0380,3,""
0000,0338,3,""
3354,0514,3,FRENTE AMPLIO POR  MORON - G
3355,0514,3,PARTICIPACION E IGUALDAD - GO
0000,0336,3,""
0000,0341,3,""
3356,0514,3,UNIDOS POR SAN ISIDRO - JG
3424,0514,3,FRENTE PROGRESISTA GRAL VIAMONTE - JU
3425,0514,3,FRENTE PROGRESISTA VILLEGUENSE - HZ
3426,0514,3,UNION PROGRESISTA GRAL VILLEGAS - GA
3429,0514,3,MILITANCIA - GQ
3430,0514,3,ESPERANZA POR LINCOLN - NC
3431,0514,3,HONESTIDAD Y TRANSPARENCIA - JM
0000,0374,3,""
3400,0514,3,PROGRESISMO DE LOBOS - HD
0000,0343,3,""
0000,0375,3,""
